City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,Bulungu,-4.55,18.6,84.85,61,91,2.91,CD,2022-01-30 15:57:26
307,Kargopol,61.5071,38.9456,13.98,94,100,6.89,RU,2022-01-30 15:57:27
308,Muros,42.7762,-9.0603,64.9,45,0,4.21,ES,2022-01-30 15:57:27
309,Torbay,47.6666,-52.7314,50.77,95,100,23.02,CA,2022-01-30 15:57:27
310,Tyler,32.3513,-95.3011,55.09,45,0,1.01,US,2022-01-30 15:53:47
311,Rincon,32.296,-81.2354,45.95,33,0,1.01,US,2022-01-30 15:57:28
312,Utena,55.5,25.6,32.07,97,100,8.81,LT,2022-01-30 15:57:28
313,Erzin,36.9559,36.2,45.12,79,52,7.81,TR,2022-01-30 15:57:29
314,Shishou,29.7226,112.419,39.06,77,100,4.14,CN,2022-01-30 15:57:29
315,Kahului,20.8947,-156.47,73.85,69,6,5.01,US,2022-01-30 15:57:29
316,Fortuna Foothills,32.6578,-114.4119,55.69,18,2,4.83,US,2022-01-30 15:58:23
317,Quang Ngai,15.1167,108.8,72.36,93,97,4.47,VN,2022-01-30 15:58:30
318,Honiara,-9.4333,159.95,77.67,87,100,1.59,SB,2022-01-30 15:58:30
319,Chateauroux,46.8167,1.7,51.28,93,100,4.61,FR,2022-01-30 15:58:30
320,Margate,51.3813,1.3862,46.04,65,97,4.0,GB,2022-01-30 15:58:31
321,Erenhot,43.6475,111.9767,7.34,91,100,15.23,CN,2022-01-30 15:58:31
322,Chapleau,47.8405,-83.4034,5.09,78,100,8.05,CA,2022-01-30 15:58:31
323,La Ronge,55.1001,-105.2842,14.25,85,100,8.05,CA,2022-01-30 15:58:32
324,Tutoia,-2.7619,-42.2744,85.98,66,100,10.56,BR,2022-01-30 15:58:32
325,Coquimbo,-29.9533,-71.3436,67.73,68,0,12.66,CL,2022-01-30 15:58:32
326,Debar,41.525,20.5275,42.22,92,34,1.68,MK,2022-01-30 15:58:19
327,Omsukchan,62.5333,155.8,-17.84,100,100,5.82,RU,2022-01-30 15:58:33
328,Clyde River,70.4692,-68.5914,-14.57,70,100,3.44,CA,2022-01-30 15:58:33
329,Touros,-5.1989,-35.4608,86.9,61,23,15.84,BR,2022-01-30 15:58:33
330,Sobolevo,54.4299,31.8996,32.47,96,100,9.93,RU,2022-01-30 15:58:34
331,Upington,-28.4478,21.2561,91.78,33,20,5.75,ZA,2022-01-30 15:58:34
332,Kakonko,-3.2828,30.9642,68.65,86,97,3.69,TZ,2022-01-30 15:58:34
333,Acapulco,16.8634,-99.8901,81.75,60,0,2.13,MX,2022-01-30 15:58:35
334,Dan Khun Thot,15.2085,101.7714,85.06,37,5,7.63,TH,2022-01-30 15:58:35
335,San Buenaventura,27.0833,-101.5333,54.48,37,1,0.85,MX,2022-01-30 15:58:35
336,Udachnyy,66.4167,112.4,-28.28,100,33,3.04,RU,2022-01-30 15:58:36
337,Pomerode,-26.7406,-49.1769,79.7,76,100,2.82,BR,2022-01-30 15:58:36
338,Lavrentiya,65.5833,-171.0,-3.91,86,4,4.32,RU,2022-01-30 15:58:36
339,Yamada,39.4667,141.95,24.53,57,72,4.92,JP,2022-01-30 15:58:37
340,Tautira,-17.7333,-149.15,73.42,75,98,9.04,PF,2022-01-30 15:58:37
341,Tevaitoa,-16.7833,-151.5,79.36,74,36,6.85,PF,2022-01-30 15:58:37
342,Imeni Poliny Osipenko,52.4201,136.4853,-4.05,99,100,3.78,RU,2022-01-30 15:58:37
343,Aboisso,5.4678,-3.2071,95.61,29,43,8.95,CI,2022-01-30 15:58:38
344,Dzaoudzi,-12.7887,45.2699,82.29,74,0,6.91,YT,2022-01-30 15:58:38
345,Liepaja,56.5419,21.0367,33.78,93,100,23.02,LV,2022-01-30 15:58:39
346,Oriximina,-1.7656,-55.8661,82.22,70,100,4.21,BR,2022-01-30 15:55:48
347,Darab,28.7519,54.5444,56.12,50,0,4.54,IR,2022-01-30 15:58:39
348,Xihua,33.7833,114.5167,34.16,76,67,7.94,CN,2022-01-30 15:58:39
349,Tarko-Sale,64.9225,77.785,-1.75,97,97,7.78,RU,2022-01-30 15:58:40
350,Kidodi,-7.6036,37.0044,74.95,95,76,2.44,TZ,2022-01-30 15:58:40
351,Pisco,-13.7,-76.2167,74.01,78,0,6.91,PE,2022-01-30 15:58:41
352,Alofi,-19.0595,-169.9187,73.29,94,92,4.61,NU,2022-01-30 15:58:41
353,Tiksi,71.6872,128.8694,-16.11,100,76,4.27,RU,2022-01-30 15:58:41
354,Lorengau,-2.0226,147.2712,79.5,83,100,10.96,PG,2022-01-30 15:58:41
355,Satara,17.6833,73.9833,68.02,38,1,3.44,IN,2022-01-30 15:58:42
356,Vila,42.0304,-8.1588,58.08,27,0,2.98,PT,2022-01-30 15:54:40
357,Gorontalo,0.5412,123.0595,74.57,93,97,3.91,ID,2022-01-30 15:58:42
358,Souillac,-20.5167,57.5167,82.78,74,40,13.8,MU,2022-01-30 15:58:43
359,Narsaq,60.9167,-46.05,5.54,63,100,8.88,GL,2022-01-30 15:58:43
360,Cherskiy,68.75,161.3,-28.88,99,83,2.55,RU,2022-01-30 15:58:43
