,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
361,361,Urucara,BR,2022-01-30 22:16:01,-2.5364,-57.76,77.34,88,100,2.15
367,367,Linguere,SN,2022-01-30 22:17:04,15.3953,-15.1193,85.19,12,97,9.24
373,373,Weligama,LK,2022-01-30 22:17:06,5.9667,80.4167,75.04,93,33,4.72
374,374,Karratha,AU,2022-01-30 22:13:33,-20.7377,116.8463,82.2,63,61,19.13
375,375,Port Hedland,AU,2022-01-30 22:15:16,-20.3167,118.5667,80.65,83,94,10.36
392,392,Mbini,GQ,2022-01-30 22:17:14,1.574,9.6134,80.51,81,100,6.67
399,399,Ixtapa,MX,2022-01-30 22:17:17,20.7,-105.2,76.23,73,0,12.66
402,402,Sulangan,PH,2022-01-30 22:17:19,11.1373,123.7228,81.39,76,70,6.31
408,408,Salinopolis,BR,2022-01-30 22:17:22,-0.6136,-47.3561,77.59,87,100,11.1
411,411,Soyo,AO,2022-01-30 22:18:23,-6.1349,12.3689,78.8,86,100,6.22
414,414,Ambon,ID,2022-01-30 22:18:25,-3.6954,128.1814,84.34,70,40,13.8
416,416,Cabedelo,BR,2022-01-30 22:18:26,-6.9811,-34.8339,81.27,75,13,11.59
417,417,Batticaloa,LK,2022-01-30 22:18:26,7.7102,81.6924,77.23,85,26,6.11
418,418,Bahia De Caraquez,EC,2022-01-30 22:18:27,-0.6,-80.4167,78.98,78,100,9.24
420,420,La Asuncion,VE,2022-01-30 22:14:57,11.0333,-63.8628,80.33,74,38,14.97
421,421,Kieta,PG,2022-01-30 22:18:28,-6.2167,155.6333,82.2,81,100,6.71
435,435,Cap Malheureux,MU,2022-01-30 22:18:34,-19.9842,57.6142,79.29,81,100,3.0
436,436,Acapulco,MX,2022-01-30 22:18:34,16.8634,-99.8901,84.02,70,20,4.61
437,437,Kingston,JM,2022-01-30 22:18:14,17.997,-76.7936,77.95,74,75,8.99
439,439,Mackay,AU,2022-01-30 22:15:33,-21.15,149.2,82.69,80,33,10.71
441,441,Mapiripan,CO,2022-01-30 22:18:36,2.8892,-72.1256,92.86,29,15,10.56
442,442,Port Keats,AU,2022-01-30 22:18:37,-14.25,129.55,81.61,79,74,20.62
444,444,Tondon,GN,2022-01-30 22:18:38,10.3667,-13.35,76.15,83,21,2.68
447,447,La Victoria,VE,2022-01-30 22:18:39,10.2184,-67.3302,78.04,51,84,3.74
454,454,Ayutla,MX,2022-01-30 22:18:43,20.1167,-104.3333,80.2,25,10,12.46
458,458,Port Hueneme,US,2022-01-30 22:19:45,34.1478,-119.1951,79.14,44,0,8.05
464,464,Wajir,KE,2022-01-30 22:19:47,1.7471,40.0573,82.99,30,47,10.0
471,471,Marechal Candido Rondon,BR,2022-01-30 22:19:51,-24.5561,-54.0567,76.96,76,11,4.59
473,473,Boa Vista,BR,2022-01-30 22:19:52,2.8197,-60.6733,91.38,38,40,10.36
477,477,Caravelas,BR,2022-01-30 22:19:53,-17.7125,-39.2481,79.61,83,22,11.5
484,484,Sibu,MY,2022-01-30 22:19:57,2.3,111.8167,75.51,94,20,3.44
487,487,Tucuma,BR,2022-01-30 22:19:58,-0.1833,-50.05,75.36,91,89,6.38
498,498,Hobyo,SO,2022-01-30 22:20:05,5.3505,48.5268,76.57,79,95,16.82
513,513,Sokolo,ML,2022-01-30 22:21:12,14.7328,-6.1219,78.48,14,34,9.84
