City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Talovaya,RU,2022-01-30 22:07:55,51.1144,40.73,31.26,96,100,17.56
68,Namibe,AO,2022-01-30 22:07:55,-15.1961,12.1522,73.26,71,100,5.23
69,Ushuaia,AR,2022-01-30 22:05:39,-54.8,-68.3,46.06,66,75,29.93
70,Swinoujscie,PL,2022-01-30 22:03:51,53.9105,14.2471,37.49,80,31,20.2
71,Sao Filipe,CV,2022-01-30 22:07:57,14.8961,-24.4956,70.99,74,99,14.36
72,Bethel,US,2022-01-30 22:07:57,41.3712,-73.414,23.76,50,24,4.23
73,Narsaq,GL,2022-01-30 22:07:58,60.9167,-46.05,21.42,72,100,17.52
74,Qaqortoq,GL,2022-01-30 22:07:59,60.7167,-46.0333,21.7,63,100,16.82
75,Otane,NZ,2022-01-30 22:07:59,-39.8833,176.6333,69.01,60,100,3.98
76,Vila Velha,BR,2022-01-30 22:03:30,-20.3297,-40.2925,79.95,82,0,1.01
77,Belmonte,BR,2022-01-30 22:08:00,-15.8631,-38.8828,81.1,82,9,11.18
78,Rassvet,RU,2022-01-30 22:08:00,46.8333,40.75,34.03,99,100,8.95
79,Lorengau,PG,2022-01-30 22:04:13,-2.0226,147.2712,78.69,86,100,11.9
80,Erdenet,MN,2022-01-30 22:08:01,49.0333,104.0833,-11.69,94,11,4.05
81,Ponta Do Sol,PT,2022-01-30 22:08:01,32.6667,-17.1,65.12,39,1,9.37
82,Carnarvon,AU,2022-01-30 22:08:02,-24.8667,113.6333,77.52,73,57,21.47
83,Tura,IN,2022-01-30 22:08:02,25.5198,90.2201,51.78,59,2,3.31
84,Fremont,US,2022-01-30 22:08:03,37.5483,-121.9886,67.1,59,0,1.99
85,Muroto,JP,2022-01-30 22:08:04,33.2833,134.15,35.64,57,19,15.93
86,Port Elizabeth,ZA,2022-01-30 22:08:04,-33.918,25.5701,71.1,90,94,10.38
87,Palmer,US,2022-01-30 22:05:14,42.1584,-72.3287,19.47,37,20,1.01
88,Sobolevo,RU,2022-01-30 22:03:57,54.4299,31.8996,30.54,92,99,7.14
89,Geraldton,AU,2022-01-30 22:05:22,-28.7667,114.6,70.21,88,75,9.22
