City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Sitka,US,57.0531,-135.33,33.69,64,100,16.11,light snow
80,Esperance,AU,-33.8667,121.9,67.53,51,30,17.0,scattered clouds
81,Yilan,TW,24.757,121.753,64.26,90,100,2.55,overcast clouds
82,Carnarvon,AU,-24.8667,113.6333,84.27,70,97,13.8,overcast clouds
83,Severo-Kurilsk,RU,50.6789,156.125,30.69,76,99,11.14,overcast clouds
84,San Felipe,VE,10.3399,-68.7425,69.71,98,50,3.36,scattered clouds
85,Gat,IL,31.61,34.7642,53.91,100,0,3.62,clear sky
86,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,79,62,11.32,broken clouds
87,Anloga,GH,5.7947,0.8973,79.36,72,0,4.23,clear sky
88,Mahebourg,MU,-20.4081,57.7,79.25,94,75,25.32,light intensity shower rain
89,Kysyl-Syr,RU,63.8986,122.7617,-23.31,97,99,7.02,overcast clouds
90,Sechura,PE,-5.5569,-80.8222,73.98,67,17,15.86,few clouds
91,San Patricio,US,28.017,-97.5169,65.08,76,28,7.94,scattered clouds
92,Hithadhoo,MV,-0.6,73.0833,82.38,72,6,12.35,clear sky
93,Sambava,MG,-14.2667,50.1667,74.41,82,100,5.73,overcast clouds
94,Koroni,GR,36.8,21.95,54.07,73,100,16.62,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,68.13,45,100,13.91,overcast clouds
96,Xifeng,CN,42.7372,124.7222,10.35,57,1,10.22,clear sky
97,Derzhavinsk,KZ,51.1,66.3167,11.46,85,100,5.88,overcast clouds
98,Seal Beach,US,33.7414,-118.1048,63.39,67,40,3.0,scattered clouds
99,Provideniya,RU,64.3833,-173.3,14.11,62,0,20.13,clear sky
100,Satellite Beach,US,28.1761,-80.5901,64.06,85,0,1.01,clear sky
101,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.02,91,100,0.98,light rain
102,Dhenkanal,IN,20.6667,85.6,60.58,43,3,3.09,clear sky
103,Yellowknife,CA,62.456,-114.3525,-26.45,90,13,5.99,few clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,75.54,96,100,3.0,overcast clouds
105,Kaihua,CN,23.3687,104.28,45.16,97,100,4.05,overcast clouds
106,Port Macquarie,AU,-31.4333,152.9167,81.9,94,100,10.36,light rain
107,Poya,NC,-21.35,165.15,86.13,56,21,9.75,few clouds
108,Port Elizabeth,ZA,-33.918,25.5701,75.09,88,0,2.3,clear sky
109,Karachi,PK,24.9056,67.0822,64.22,88,0,3.44,smoke
110,Constitucion,CL,-35.3333,-72.4167,57.87,92,11,4.41,few clouds
111,Mouila,GA,-1.8685,11.0559,73.8,95,100,2.42,light rain
112,Barra Do Garcas,BR,-15.89,-52.2567,72.0,95,89,3.38,overcast clouds
113,Codrington,AU,-38.2667,141.9667,59.92,52,100,13.89,overcast clouds
114,Challakere,IN,14.3167,76.65,67.57,48,77,4.36,broken clouds
115,Kaitangata,NZ,-46.2817,169.8464,73.92,66,100,12.77,overcast clouds
116,Warangal,IN,18.0,79.5833,63.16,40,0,2.15,clear sky
117,Hambantota,LK,6.1241,81.1185,71.46,82,36,10.25,scattered clouds
118,Bengkulu,ID,-3.8004,102.2655,74.5,81,100,5.1,moderate rain
119,Aswan,EG,24.0934,32.907,51.1,53,0,4.61,clear sky
120,Port Blair,IN,11.6667,92.75,69.84,94,20,2.3,mist
121,Mackay,AU,-21.15,149.2,93.69,68,94,7.92,overcast clouds
122,Saint-Pierre,RE,-21.3393,55.4781,80.24,94,100,29.93,heavy intensity rain
123,Saint-Augustin,CA,51.226,-58.6502,-12.59,90,3,6.06,clear sky
124,Chanika,TZ,-5.4167,38.0167,66.9,99,82,0.67,light rain
125,Timizart,DZ,36.8,4.2667,47.55,87,98,2.84,overcast clouds
126,Fairbanks,US,64.8378,-147.7164,-3.01,76,0,0.0,clear sky
127,Khani,GE,41.9563,42.9566,36.97,75,24,9.6,few clouds
128,Pacifica,US,37.6138,-122.4869,61.14,41,0,4.0,haze
129,Lompoc,US,34.6391,-120.4579,62.02,32,0,13.8,clear sky
130,Sorland,NO,67.667,12.6934,28.83,59,100,16.64,overcast clouds
131,Hobart,AU,-42.8794,147.3294,64.02,46,75,4.0,broken clouds
132,Georgetown,MY,5.4112,100.3354,82.33,77,20,3.44,few clouds
133,Jamestown,US,42.097,-79.2353,35.71,47,0,8.01,clear sky
134,Atuona,PF,-9.8,-139.0333,78.87,73,16,19.73,few clouds
135,Mehamn,NO,71.0357,27.8492,18.12,78,99,9.86,overcast clouds
136,Carballo,ES,43.213,-8.691,46.76,87,0,3.74,clear sky
137,Vardo,NO,70.3705,31.1107,28.18,61,100,7.27,overcast clouds
138,Ribeira Grande,PT,38.5167,-28.7,59.63,74,68,13.24,broken clouds
139,Rayadrug,IN,14.7,76.8667,67.5,55,16,3.4,few clouds
140,Ust-Ilimsk,RU,58.0006,102.6619,-7.31,100,100,3.87,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,59.43,94,100,5.37,overcast clouds
142,Padang,ID,-0.9492,100.3543,77.05,82,100,4.38,overcast clouds
143,Vila,PT,42.0304,-8.1588,43.32,76,0,3.96,clear sky
144,Puerto Del Rosario,ES,28.5004,-13.8627,67.68,52,100,6.91,overcast clouds
145,Sabzevar,IR,36.2126,57.6819,34.9,85,20,5.7,few clouds
146,Torbay,CA,47.6666,-52.7314,20.57,63,6,1.99,clear sky
147,Baculin,PH,7.4525,126.5842,80.96,74,100,7.65,overcast clouds
148,Chiknayakanhalli,IN,13.4172,76.6228,63.7,63,8,5.82,clear sky
149,San Cristobal,VE,7.7669,-72.225,71.78,60,100,1.43,overcast clouds
150,Puerto Rondon,CO,6.2805,-71.1,81.39,42,100,6.71,overcast clouds
151,Sakaiminato,JP,35.55,133.2333,39.18,87,75,9.22,broken clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,-19.97,100,100,6.17,overcast clouds
153,Chernihiv,UA,51.0,32.0,17.47,95,100,7.0,overcast clouds
154,Charters Towers,AU,-20.1,146.2667,89.55,53,100,6.73,overcast clouds
155,Moose Factory,CA,51.2585,-80.6094,33.8,75,100,13.8,overcast clouds
156,Buribay,RU,51.9617,58.1592,20.95,95,100,8.32,light snow
157,Chuy,UY,-33.6971,-53.4616,63.12,72,0,6.73,clear sky
158,Bonthe,SL,7.5264,-12.505,76.96,90,100,2.08,overcast clouds
159,Kang,BW,-23.6752,22.7876,70.43,72,38,10.07,scattered clouds
160,Namie,JP,37.4833,141.0,40.96,58,75,8.97,broken clouds
161,Kruisfontein,ZA,-34.0033,24.7314,72.88,65,100,3.74,overcast clouds
162,Kholmy,UA,51.871,32.6006,17.33,96,100,7.34,overcast clouds
163,Sterling,US,39.0062,-77.4286,35.58,73,20,5.01,few clouds
164,Srednekolymsk,RU,67.45,153.6833,-10.75,91,100,8.7,overcast clouds
165,Trinidad,BO,-14.8333,-64.9,72.95,97,100,3.11,moderate rain
166,Luderitz,NA,-26.6481,15.1594,63.68,91,67,7.87,broken clouds
167,Athabasca,CA,54.7169,-113.2854,-2.38,86,100,12.41,overcast clouds
168,Aden,YE,12.7794,45.0367,77.14,77,24,6.91,few clouds
169,Fortuna,US,40.5982,-124.1573,50.18,74,0,5.99,clear sky
170,Sembe,CG,1.6481,14.5806,74.64,42,100,0.45,overcast clouds
171,Berberati,CF,4.2612,15.7922,66.33,32,63,1.74,broken clouds
172,Richards Bay,ZA,-28.783,32.0377,75.36,84,97,10.78,overcast clouds
173,Lebu,CL,-37.6167,-73.65,58.98,94,5,10.25,clear sky
174,Rio Gallegos,AR,-51.6226,-69.2181,53.65,37,40,23.02,scattered clouds
175,Clyde River,CA,70.4692,-68.5914,-21.77,76,0,5.75,clear sky
176,Talaya,RU,61.3833,152.75,-8.55,96,100,4.54,overcast clouds
177,Arkhangelskoye,RU,55.8549,35.3287,17.01,94,100,9.44,overcast clouds
178,Belyy Yar,RU,53.6039,91.3903,-18.51,76,100,0.0,smoke
179,Iqaluit,CA,63.7506,-68.5145,-9.31,76,75,17.0,light snow
180,Luganville,VU,-15.5333,167.1667,84.51,74,95,1.92,moderate rain
181,Chicama,PE,-7.8447,-79.1469,64.94,67,18,6.67,few clouds
182,Ukiah,US,39.1502,-123.2078,57.56,41,0,5.75,clear sky
183,Guerrero Negro,MX,27.9769,-114.0611,61.05,70,89,12.93,overcast clouds
184,High Level,CA,58.5169,-117.136,-14.69,84,20,0.0,few clouds
185,Sibolga,ID,1.7427,98.7792,76.35,89,98,1.9,overcast clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,72.52,53,0,7.0,clear sky
187,Qaanaaq,GL,77.484,-69.3632,-20.85,64,100,11.99,overcast clouds
188,Suez,EG,29.9737,32.5263,54.79,61,0,5.95,clear sky
189,Sale,MA,34.0389,-6.8166,55.42,93,0,4.61,clear sky
190,Saldanha,ZA,-33.0117,17.9442,66.25,97,55,13.06,broken clouds
191,Murgab,TM,37.4966,61.9714,46.27,57,100,9.22,overcast clouds
192,Kudahuvadhoo,MV,2.6708,72.8944,82.65,75,3,14.43,clear sky
193,Mount Isa,AU,-20.7333,139.5,87.57,55,100,9.22,overcast clouds
194,Mercedes,AR,-34.6515,-59.4307,77.18,50,0,8.55,clear sky
195,Solnechnyy,RU,50.7214,136.6319,1.72,92,100,1.86,overcast clouds
196,Faanui,PF,-16.4833,-151.75,80.94,76,11,19.86,few clouds
197,Estelle,US,29.8458,-90.1067,64.0,86,100,13.8,overcast clouds
198,Manado,ID,1.487,124.8455,84.97,74,40,2.3,scattered clouds
199,Norman Wells,CA,65.282,-126.8329,-25.56,75,20,0.0,few clouds
200,Henties Bay,NA,-22.116,14.2845,66.85,81,73,3.65,broken clouds
201,Praia,CV,14.9215,-23.5087,79.34,44,75,14.97,broken clouds
202,New Norfolk,AU,-42.7826,147.0587,58.91,50,58,1.99,broken clouds
203,Pedra Azul,BR,-16.0053,-41.2972,69.31,93,100,1.54,overcast clouds
204,Mulege,MX,26.8833,-111.9833,68.09,44,38,0.89,scattered clouds
205,Areosa,PT,41.7178,-8.8571,59.56,68,0,7.52,clear sky
206,Kalianget,ID,-7.05,113.9333,81.39,78,99,5.64,overcast clouds
207,Coolum Beach,AU,-26.5333,153.1,91.22,70,100,4.72,overcast clouds
208,Souillac,MU,-20.5167,57.5167,80.37,93,100,28.83,moderate rain
209,Lata,PT,40.1629,-8.3327,52.81,77,0,3.83,clear sky
210,Cayenne,GF,4.9333,-52.3333,75.09,92,100,4.0,overcast clouds
211,Torres,BR,-29.3353,-49.7269,70.83,77,93,4.18,overcast clouds
212,Vestmannaeyjar,IS,63.4427,-20.2734,37.65,71,100,11.9,overcast clouds
213,Perth,AU,-31.9333,115.8333,75.67,42,0,19.57,clear sky
214,Faaa,PF,-17.55,-149.6,89.56,55,20,3.44,few clouds
215,Penzance,GB,50.1186,-5.5371,51.01,90,100,17.74,overcast clouds
216,Tiznit,MA,29.5833,-9.5,62.56,34,48,3.09,scattered clouds
